ratio,completion_s,profile_s,status
0.01,,,no_feasible_profile
0.012589254117941677,,,no_feasible_profile
0.01584893192461114,,,no_feasible_profile
0.019952623149688802,,,no_feasible_profile
0.02511886431509582,,,no_feasible_profile
0.03162277660168381,,,no_feasible_profile
0.03981071705534975,,,no_feasible_profile
0.05011872336272725,,,no_feasible_profile
0.06309573444801937,,,no_feasible_profile
0.07943282347242821,,,no_feasible_profile
0.10000000000000006,1.1640000000000001,1.063831662701416,completed
0.12589254117941678,0.7028,0.6026091878691341,completed
0.15848931924611143,0.5428000000000001,0.4427139367088903,completed
0.19952623149688814,0.4524,0.3523509555537115,completed
0.2511886431509581,0.39160000000000006,0.29153553268542176,completed
0.31622776601683833,0.3468,0.24672463487430815,completed
0.39810717055349754,0.31200000000000006,0.21186168235337893,completed
0.5011872336272726,0.28380000000000005,0.1837555244074774,completed
0.6309573444801939,0.26060000000000005,0.1605581497626904,completed
0.7943282347242823,0.24120000000000003,0.14106846159475744,completed
1.0000000000000009,0.22760000000000002,0.12451592714112339,completed
1.2589254117941682,0.2174,0.11034250638173895,completed
1.5848931924611147,0.2088,0.0981592283688021,completed
1.9952623149688828,0.2018,0.0876782245707597,completed
2.5118864315095815,0.19580000000000003,0.07868684302840498,completed
3.1622776601683813,0.19080000000000003,0.07101900834264832,completed
3.981071705534978,0.18660000000000002,0.06457116269874788,completed
5.011872336272729,0.1834,0.05928105628205817,completed
6.309573444801934,0.1806,0.0550798258413646,completed
7.943282347242825,0.17880000000000001,0.051890652459212185,completed
8.717610975692635,0.178,0.05087252713558425,completed
9.491939604142445,0.1776,0.05005998156945815,completed
10.00000000000002,0.1774,0.049616243841517034,completed
10.266268232592255,0.17720000000000002,0.04940841731070916,completed
10.524377775408858,0.17720000000000002,0.04922305851296162,completed
10.782487318225462,0.177,0.04904893358174421,completed
11.040596861042065,0.1768,0.04888604251705697,completed
11.298706403858668,0.1768,0.04872876838563481,completed
11.38474291813087,0.1768,0.04868383291951418,completed
11.47077943240307,0.1768,0.0486332805201285,completed
11.556815946675272,0.1768,0.04858834505400787,completed
11.585494784766006,0.1768,0.048571494254212644,completed
11.61417362285674,0.1766,0.04856026038768249,completed
11.642852460947474,0.1766,0.04854340958788726,completed
11.652412073644385,0.1766,0.04853779265462218,completed
11.661971686341296,0.1766,0.048532175721357096,completed
11.665158223906932,0.1766,0.048532175721357096,completed
11.66834476147257,0.1766,0.048532175721357096,completed
11.668698821202085,0.1766,0.04852655878809202,completed
11.6690528809316,0.1766,0.04852655878809202,completed
11.669406940661116,0.1766,0.04852655878809202,completed
11.669761000390631,0.1766,0.04852655878809202,completed
11.670115060120146,0.1766,0.04852655878809202,completed
11.670469119849662,0.1766,0.04852655878809202,completed
11.671531299038206,0.1766,0.04852655878809202,completed
11.671531299038207,0.1766,0.04852655878809202,completed
11.672593478226752,0.1766,0.04852655878809202,completed
11.673655657415297,0.1766,0.048532175721357096,completed
11.674717836603843,0.1766,0.048532175721357096,completed
11.67790437416948,0.1766,0.04854340958788726,completed
11.681090911735117,0.1766,0.048554643454417415,completed
11.690650524432028,0.1768,0.048582728120742796,completed
11.70021013712894,0.1768,0.04861081278706819,completed
11.728888975219673,0.1768,0.048700683719309426,completed
11.814925489491875,0.177,0.04896467958276806,completed
12.589254117941685,0.1784,0.051450060213899515,completed
15.84893192461115,0.18560000000000001,0.06311447836346937,completed
19.952623149688833,0.19580000000000003,0.07886589379379122,completed
25.118864315095824,0.2092,0.09906906941933333,completed
31.622776601683817,0.2268,0.12463007902818503,completed
39.81071705534979,0.257,0.1568472109832771,completed
50.11872336272726,0.2976,0.1974189969701865,completed
63.095734448019414,0.3486,0.24850477906339904,completed
79.43282347242832,0.41300000000000003,0.312816289898703,completed
100.0,0.4938,0.39377929444037,completed
