time_s,angle_deg,reference_deg,velocity_deg_s,acceleration_rad_s2,output_em_torque_nm,gravity_load_nm,bus_v,terminal_v,stator_a,supply_a,battery_a,motor_rpm,duty
0.0,0.0,0.0,0.0,0.0,0.1301085272529697,0.1301085272529697,11.999974998812212,0.033029663164076364,0.7569297808434167,0.002083432315699897,0.002083432315699897,0.0,0.0027524776649406123
0.0002,0.0,6.26188726627801e-05,0.0,164.23049776649486,0.5006988801422737,0.1301085272529697,11.999629733128867,0.12710862006434762,2.9129058764746327,0.030855572594361762,0.030855572594361762,0.0,0.010592711849551748
0.0004,0.00018817448514907425,0.0004978501901243509,1.881645846113996,324.3677070054167,0.8621695981751726,0.13010852725226799,11.998872958903679,0.22467586645368168,5.015826854513062,0.09392009136017501,0.09392009136017501,3.6602813977707886,0.018724747501136143
0.0006000000000000001,0.0009361625550939417,0.0016698138983249557,5.598039310208706,480.44606503626704,1.2145954745143048,0.13010852723560237,11.997698786884452,0.32560574474815895,7.0661278376474295,0.19176775962887388,0.19176775962887388,10.889615170391194,0.02713901645072987
0.0008,0.00260626312197192,0.003933435453299855,11.10267672462176,632.5000003152843,1.5580513067814148,0.1301085271183629,11.996103159836334,0.4297738154097007,9.064243974508113,0.32473668030559766,0.32473668030559766,21.59753981575431,0.03582611867232094
0.001,0.005551513812365263,0.007634522880914098,18.349448880856876,780.5639325254464,1.8926118971497903,0.13010852664223393,11.994083759341814,0.5370568566570886,11.010610440204914,0.4930200548488309,0.4930200548488309,35.69436115550377,0.044776813922013166
0.0012000000000000001,0.010115769849105572,0.013109843836597322,27.292640929428117,924.6722726654339,2.2183520523887443,0.13010852522515448,11.99163991632101,0.6473328641683537,12.905662436585837,0.696673639915974,0.696673639915974,53.091152140205246,0.05398201319298395
0.0014,0.016633782913156172,0.020687202665078466,37.88693228082998,1064.8594231375755,2.535346583864633,0.13010852177004154,11.988772525151614,0.7604810507756044,14.749835192243015,0.9356229040322127,0.9356229040322127,73.69975265670801,0.06343277005049247
0.0016,0.02543127998579569,0.030685517460120677,50.08739650761071,1201.1597778348062,2.843670307502745,0.13010851443654378,11.985483961257707,0.8763818461533234,16.543563962290985,1.2096698951910119,1.2096698951910119,97.43276933765254,0.07312027190442792
0.0018000000000000002,0.036825042171321674,0.04341489712425588,63.84950124752714,1333.6077222266526,3.143398043714185,0.13010850037991778,11.981778002028648,0.9949168965011141,18.287284027941336,1.5184998309460656,1.5184998309460656,124.20357537308199,0.08303583127084008
0.002,0.051122983500488786,0.05917671842851977,79.12910810775976,1462.2376334442868,3.4346046172917672,0.13010847546094922,11.977659750923753,1.115969064221849,19.981430695897032,1.8616874230205278,1.8616874230205278,153.926310324116,0.09317087706851768
0.0022,0.06862422971489184,0.07826370307218647,95.8824725701679,1587.083880364648,3.7173648572786684,0.13010843393067398,11.97313556461481,1.239422427596111,21.62643929758829,2.238702948765881,2.238702948765881,186.5158799386478,0.10351694599191526
0.0024000000000000002,0.08961919703250008,0.10095999474250335,114.06624389756496,1708.1808236936756,3.9917535968135316,0.13010836809349074,11.968212983016322,1.3651622804538035,23.222745188271446,2.6489180819731915,2.6489180819731915,221.88795596902585,0.11406567399753482
0.0026000000000000003,0.11438967089454517,0.1275412361744257,133.63746504099493,1825.5628160486622,4.257845672955469,0.1301082679520977,11.962900662052876,1.4930751318437445,24.77078374601086,3.0916114955936913,3.0916114955936913,259.9589759916827,0.12480878793718309
0.0028,0.14320888469396134,0.15827464621035162,154.55357254799156,1939.2642020397432,4.515715926492283,0.13010812083752915,11.957208309013422,1.6230487057020317,26.270990370563226,3.565974248881451,3.565974248881451,300.6461432286759,0.13573809736831022
0.003,0.17634159848557304,0.19341909685985686,176.77239647180255,2049.3193183505628,4.7654392017351,0.13010791102741545,11.951146620343877,1.7549719405199335,27.723800482182803,4.071114971343549,4.071114971343549,343.8674263711057,0.14684548656883908
0.0032,0.21404417767822134,0.23322519035942957,200.25216028156123,2155.7624938181057,5.007090346302399,0.1301076193554427,11.944727221731771,1.8887349890120135,29.129649520364975,4.606064855685645,4.606064855685645,389.5415594043762,0.1581229067814728
0.0034000000000000002,0.25656467170901737,0.2779353362322046,224.95148077338948,2258.628049511738,5.24074421089632,0.1301072228148413,11.937962610339785,2.0242292177851633,30.48897294254488,5.16978247168459,5.16978247168459,437.5880414352677,0.16956236871037986
0.0036000000000000003,0.3041428926999074,0.327783828347699,250.82936798241562,2357.950298811463,5.466475649073995,0.13010669415859333,11.930866099048629,2.161347207009194,31.80220622276708,5.761158412614239,5.761158412614239,487.92713652078925,0.181155935291365
0.0038,0.35701049409673175,0.38299692198154656,277.84522509569166,2453.7635474854055,5.684359517016457,0.13010600149891094,11.923451762573954,2.2999827500895917,33.06978485034115,6.379019785503746,6.379019785503746,540.4798734987802,0.1928957147550943
